id;code;name;english_name;nhi_icd9cm_id
58;B370;念珠菌性口炎;Candidal stomatitis;22
59;B3783;念珠菌性唇炎;Candidal cheilitis;22
60;C000;上唇外側惡性腫瘤;Malignant neoplasm of external upper lip;23
61;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;23
62;C001;下唇外側惡性腫瘤;Malignant neoplasm of external lower lip;24
63;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;24
64;C003;上唇內側惡性腫瘤;Malignant neoplasm of upper lip, inner aspect;25
65;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;25
66;C004;下唇內側惡性腫瘤;Malignant neoplasm of lower lip, inner aspect;26
67;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;26
68;C005;唇內側惡性腫瘤;Malignant neoplasm of lip, unspecified, inner aspect;27
69;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;27
70;C006;唇連合惡性腫瘤;Malignant neoplasm of commissure of lip, unspecified;28
71;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;28
72;C008;唇重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of lip;29
73;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;29
74;C002;唇外側惡性腫瘤;Malignant neoplasm of external lip, unspecified;30
75;C009;唇惡性腫瘤;Malignant neoplasm of lip, unspecified;30
76;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;30
77;C01;舌基部惡性腫瘤;Malignant neoplasm of base of tongue;31
78;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;31
79;C020;舌背面惡性腫瘤;Malignant neoplasm of dorsal surface of tongue;32
80;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;32
81;C021;舌(邊)緣惡性腫瘤;Malignant neoplasm of border of tongue;33
82;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;33
83;C022;舌腹面惡性腫瘤;Malignant neoplasm of ventral surface of tongue;34
84;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;34
85;C023;舌前三分之二部位之惡性腫瘤，未明示部位;Malignant neoplasm of anterior two-thirds of tongue, part unspecified;35
86;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;35
87;C028;舌重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of tongue;36
88;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;36
89;C024;舌扁桃體惡性腫瘤;Malignant neoplasm of lingual tonsil;37
90;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;37
91;C028;舌重疊部位之惡性腫瘤;Malignant neoplasm of overlapping sites of tongue;38
92;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;38
93;C029;舌部惡性腫瘤;Malignant neoplasm of tongue, unspecified;39
94;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;39
95;C07;腮腺惡性腫瘤;Malignant neoplasm of parotid gland;40
96;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;40
97;C080;頜下腺惡性腫瘤;Malignant neoplasm of submandibular gland;41
98;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;41
99;C081;舌下腺惡性腫瘤;Malignant neoplasm of sublingual gland;42
100;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;42
101;C089;主要唾液腺惡性腫瘤;Malignant neoplasm of major salivary gland, unspecified;43
102;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;43
103;C089;主要唾液腺惡性腫瘤;Malignant neoplasm of major salivary gland, unspecified;44
104;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;44
105;C030;上齒齦惡性腫瘤;Malignant neoplasm of upper gum;45
106;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;45
107;C031;下齒齦惡性腫瘤;Malignant neoplasm of lower gum;46
108;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;46
109;C039;齒齦惡性腫瘤;Malignant neoplasm of gum, unspecified;47
110;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;47
111;C039;齒齦惡性腫瘤;Malignant neoplasm of gum, unspecified;48
112;Z5112;來院接受抗腫瘤免疫療法;Encounter for antineoplastic immunotherapy;48
113;C040;口底前部惡性腫瘤;Malignant neoplasm of anterior floor of mouth;49
