id;jhi_start;jhi_end;time_interval;time_type
75;2019-12-31T16:00;2020-01-01T15:59;ALL;NHI_POINT_EXCLUDE
76;2020-01-04T16:00;2020-01-05T15:59;ALL;NHI_POINT_EXCLUDE
77;2020-01-11T16:00;2020-01-12T15:59;ALL;NHI_POINT_EXCLUDE
78;2020-01-18T16:00;2020-01-19T15:59;ALL;NHI_POINT_EXCLUDE
79;2020-01-22T16:00;2020-01-23T15:59;ALL;NHI_POINT_EXCLUDE
80;2020-01-23T16:00;2020-01-24T15:59;ALL;NHI_POINT_EXCLUDE
81;2020-01-24T16:00;2020-01-25T15:59;ALL;NHI_POINT_EXCLUDE
82;2020-01-25T16:00;2020-01-26T15:59;ALL;NHI_POINT_EXCLUDE
83;2020-01-26T16:00;2020-01-27T15:59;ALL;NHI_POINT_EXCLUDE
84;2020-01-27T16:00;2020-01-28T15:59;ALL;NHI_POINT_EXCLUDE
85;2020-01-28T16:00;2020-01-29T15:59;ALL;NHI_POINT_EXCLUDE
86;2020-02-01T16:00;2020-02-02T15:59;ALL;NHI_POINT_EXCLUDE
87;2020-02-08T16:00;2020-02-09T15:59;ALL;NHI_POINT_EXCLUDE
88;2020-02-15T16:00;2020-02-16T15:59;ALL;NHI_POINT_EXCLUDE
89;2020-02-22T16:00;2020-02-23T15:59;ALL;NHI_POINT_EXCLUDE
90;2020-02-27T16:00;2020-02-28T15:59;ALL;NHI_POINT_EXCLUDE
91;2020-02-28T16:00;2020-02-29T15:59;ALL;NHI_POINT_EXCLUDE
92;2020-02-29T16:00;2020-03-01T15:59;ALL;NHI_POINT_EXCLUDE
93;2020-03-07T16:00;2020-03-08T15:59;ALL;NHI_POINT_EXCLUDE
94;2020-03-14T16:00;2020-03-15T15:59;ALL;NHI_POINT_EXCLUDE
95;2020-03-21T16:00;2020-03-22T15:59;ALL;NHI_POINT_EXCLUDE
96;2020-03-28T16:00;2020-03-29T15:59;ALL;NHI_POINT_EXCLUDE
97;2020-04-01T16:00;2020-04-02T15:59;ALL;NHI_POINT_EXCLUDE
98;2020-04-02T16:00;2020-04-03T15:59;ALL;NHI_POINT_EXCLUDE
99;2020-04-03T16:00;2020-04-04T15:59;ALL;NHI_POINT_EXCLUDE
100;2020-04-04T16:00;2020-04-05T15:59;ALL;NHI_POINT_EXCLUDE
101;2020-04-11T16:00;2020-04-12T15:59;ALL;NHI_POINT_EXCLUDE
102;2020-04-18T16:00;2020-04-19T15:59;ALL;NHI_POINT_EXCLUDE
103;2020-04-25T16:00;2020-04-26T15:59;ALL;NHI_POINT_EXCLUDE
104;2020-04-30T16:00;2020-05-01T15:59;ALL;NHI_POINT_EXCLUDE
105;2020-05-02T16:00;2020-05-03T15:59;ALL;NHI_POINT_EXCLUDE
106;2020-05-09T16:00;2020-05-10T15:59;ALL;NHI_POINT_EXCLUDE
107;2020-05-16T16:00;2020-05-17T15:59;ALL;NHI_POINT_EXCLUDE
108;2020-05-23T16:00;2020-05-24T15:59;ALL;NHI_POINT_EXCLUDE
109;2020-05-30T16:00;2020-05-31T15:59;ALL;NHI_POINT_EXCLUDE
110;2020-06-06T16:00;2020-06-07T15:59;ALL;NHI_POINT_EXCLUDE
111;2020-06-13T16:00;2020-06-14T15:59;ALL;NHI_POINT_EXCLUDE
112;2020-06-20T16:00;2020-06-21T15:59;ALL;NHI_POINT_EXCLUDE
113;2020-06-24T16:00;2020-06-25T15:59;ALL;NHI_POINT_EXCLUDE
114;2020-06-25T16:00;2020-06-26T15:59;ALL;NHI_POINT_EXCLUDE
115;2020-06-26T16:00;2020-06-27T15:59;ALL;NHI_POINT_EXCLUDE
116;2020-06-27T16:00;2020-06-28T15:59;ALL;NHI_POINT_EXCLUDE
117;2020-07-04T16:00;2020-07-05T15:59;ALL;NHI_POINT_EXCLUDE
118;2020-07-11T16:00;2020-07-12T15:59;ALL;NHI_POINT_EXCLUDE
119;2020-07-18T16:00;2020-07-19T15:59;ALL;NHI_POINT_EXCLUDE
120;2020-07-25T16:00;2020-07-26T15:59;ALL;NHI_POINT_EXCLUDE
121;2020-08-01T16:00;2020-08-02T15:59;ALL;NHI_POINT_EXCLUDE
122;2020-08-08T16:00;2020-08-09T15:59;ALL;NHI_POINT_EXCLUDE
123;2020-08-15T16:00;2020-08-16T15:59;ALL;NHI_POINT_EXCLUDE
124;2020-08-22T16:00;2020-08-23T15:59;ALL;NHI_POINT_EXCLUDE
125;2020-08-29T16:00;2020-08-30T15:59;ALL;NHI_POINT_EXCLUDE
126;2020-09-05T16:00;2020-09-06T15:59;ALL;NHI_POINT_EXCLUDE
127;2020-09-12T16:00;2020-09-13T15:59;ALL;NHI_POINT_EXCLUDE
128;2020-09-19T16:00;2020-09-20T15:59;ALL;NHI_POINT_EXCLUDE
129;2020-09-26T16:00;2020-09-27T15:59;ALL;NHI_POINT_EXCLUDE
130;2020-09-30T16:00;2020-10-01T15:59;ALL;NHI_POINT_EXCLUDE
131;2020-10-01T16:00;2020-10-02T15:59;ALL;NHI_POINT_EXCLUDE
132;2020-10-02T16:00;2020-10-03T15:59;ALL;NHI_POINT_EXCLUDE
133;2020-10-03T16:00;2020-10-04T15:59;ALL;NHI_POINT_EXCLUDE
134;2020-10-08T16:00;2020-10-09T15:59;ALL;NHI_POINT_EXCLUDE
135;2020-10-09T16:00;2020-10-10T15:59;ALL;NHI_POINT_EXCLUDE
136;2020-10-10T16:00;2020-10-11T15:59;ALL;NHI_POINT_EXCLUDE
137;2020-10-17T16:00;2020-10-18T15:59;ALL;NHI_POINT_EXCLUDE
138;2020-10-24T16:00;2020-10-25T15:59;ALL;NHI_POINT_EXCLUDE
139;2020-10-31T16:00;2020-11-01T15:59;ALL;NHI_POINT_EXCLUDE
140;2020-11-07T16:00;2020-11-08T15:59;ALL;NHI_POINT_EXCLUDE
141;2020-11-14T16:00;2020-11-15T15:59;ALL;NHI_POINT_EXCLUDE
142;2020-11-21T16:00;2020-11-22T15:59;ALL;NHI_POINT_EXCLUDE
143;2020-11-28T16:00;2020-11-29T15:59;ALL;NHI_POINT_EXCLUDE
144;2020-12-05T16:00;2020-12-06T15:59;ALL;NHI_POINT_EXCLUDE
145;2020-12-12T16:00;2020-12-13T15:59;ALL;NHI_POINT_EXCLUDE
146;2020-12-19T16:00;2020-12-20T15:59;ALL;NHI_POINT_EXCLUDE
147;2020-12-26T16:00;2020-12-27T15:59;ALL;NHI_POINT_EXCLUDE
