id;major;minor;display
1;Missing;NULL;true
2;Impaction;NULL;true
3;Retained root;NULL;true
4;Lesion;NULL;false
5;Lesion;Periapical Lesion;true
6;Lesion;Peri-endo Combined Lesion;true
7;Lesion;Abscess;false
8;Lesion;Sinus Tract;false
9;OD;NULL;true
10;Caries;NULL;true
11;Pano;NULL;false
12;Pano;Caries;true
13;Pano;Missing;true
14;Pano;Crown;true
15;Pano;Bridge;true
16;Pano;Implant;true
17;Pano;Impaction;true
18;Endo;NULL;true
19;Endo;Endo;true
20;Endo;Vital Pulp Therapy;true
21;Endo;Apical Surgery;true
22;Endo;Root Resorption;true
23;Endo;Separated Instrument;true
24;Endo;Periapical Lesion;true
25;Endo;Peri-endo Combined Lesion;true
26;Implant;NULL;true
27;BPR;NULL;false
28;BPR;Inlay;true
29;BPR;Onlay;true
30;BPR;Overlay;true
31;BPR;Veneer;true
32;Fixed;NULL;true
33;Fixed;Crown;true
34;Fixed;Bridge;true
35;Fixed;Post;true
36;Removable;NULL;false
37;Removable;RPD;true
38;Removable;CD;true
39;Removable;Splint;true
40;Ortho;NULL;true
41;Ortho;Ortho;true
42;Ortho;Fixed Retainer;true
43;Ortho;Removable Retainer	;true
44;Pedo;NULL;false
45;Pedo;Shedding Tooth;true
46;Pedo;Caries;true
47;Pedo;Sealant;true
48;Pedo;OD;true
49;Pedo;Pulpotomy;true
50;Pedo;Pulpectomy;true
51;Pedo;Pulp Capping;true
52;Pedo;Pedoform;true
53;Pedo;Pedo-ZrO2;true
54;Pedo;SSC;true
55;Pedo;Kiddy Denture;true
56;Pedo;Space Maintainer;true
57;Preventive;NULL;false
58;Preventive;Sealant;true
59;Cosmetic;NULL;false
60;Cosmetic;Veneer;true
61;Cosmetic;Resin Veneer;true
62;Peri;NULL;false
63;Peri;Gingival Recession;true
64;Peri;Probing>5;true
65;Peri;Furcation Involvement;true
66;Peri;Mobility;false
67;Peri;Bleeding On Probing;false
68;Peri;Angular Bony Defect;true
69;Peri;Peri-endo Combined Lesion;true
70;Trauma;NULL;false
71;Trauma;Avalsion;false
72;Trauma;Tooth Fracture;true
73;Trauma;Alveolar Fracture;false
74;Trauma;Intrusion;false
75;Trauma;Luxation;false
76;Trauma;Extrusion;false
77;Trauma;Concussion;false
78;Trauma;Infraction;false
79;Pending;NULL;true
