id;nhi_procedure_type_id;code;name;point;english_name;nhi_icd9cm_id;default_icd_10_cm_id;description;exclude;fdi;specific_code
1;200;00121C;牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 1)處方交付特約藥局調劑;230;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;200;00122C;牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 2)未開處方或處方由本院所自行調劑;230;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;200;00123C;牙科門診診察費2.每位醫師每日門診量超過二○人次部分(>20) 1)處方交付特約藥局調劑;120;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;200;00124C;牙科門診診察費2.每位醫師每日門診量超過二○人次部分(>20) 2)未開處方或處方由本院所自行調劑;120;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;200;00125C;牙科門診診察費3.山地離島地區 1)處方交付特約藥局調劑;260;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;200;00126C;牙科門診診察費3.山地離島地區 2)未開處方或處方由本院所自行調劑;260;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7;200;00128C;重度以上特定身心障礙(非精神疾病)者診察費;520;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;200;00129C;符合加強感染管制之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（≦20）－ 處方交付特約藥局調劑;320;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;200;00130C;符合加強感染管制之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（≦20）－ 未開處方或處方由本院所自行調劑;320;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;200;00133C;符合加強感染管制之牙科門診診察費2.山地離島地區 － 處方交付特約藥局調劑;350;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11;200;00134C;符合加強感染管制之牙科門診診察費2.山地離島地區 － 未開處方或處方由本院所自行調劑;350;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12;200;00301C;中度特定身心障礙(非精神疾病)者診察費;420;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;200;00302C;中度以上精神疾病患者診察費;320;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14;200;00303C;輕度特定身心障礙者(非精神疾病)及失能老人診察費;320;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15;200;00304C;身心障礙者轉出醫療院所至特殊醫療服務計畫院所之轉診費用;200;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16;200;01271C;環口全景X光初診診察;600;NULL;NULL;NULL;"說明：Dx&Tx plan: Panoramic Finding (01271)\\n1.Caries:Nil\\n2.Periodontal status: (Normal,Gingivitis,Periodontitis)\\n3.Missing:Nil\\n4.Crown/bridge/implant:Nil\\n5.Impaction:Nil""""";NULL;NULL;NULL
17;200;01272C;年度初診X光檢查;600;NULL;NULL;NULL;"Dx&Tx plan: Panoramic Finding (01272)\\n1.Caries:Nil\\n2.Periodontal status: (Normal,Gingivitis,Periodontitis)\\n3.Missing:Nil\\n4.Crown/bridge/implant:Nil\\n5.Impaction:Nil""""";NULL;NULL;NULL
18;200;01273C;高齲齒罹患率族群年度初診X光片檢查;600;NULL;NULL;NULL;"Dx&Tx plan: Panoramic Finding (01273)\\n1.Caries:Nil\\n2.Periodontal status: (Normal,Gingivitis,Periodontitis)\\n3.Missing:Nil\\n4.Crown/bridge/implant:Nil\\n5.Impaction:Nil""""";NULL;NULL;NULL
19;170;34001C;根尖周 X光攝影;80;Periapical radiography;1;1;CC:Asking for dental check up.Visual & Radiographic examination.;90001C~90003C,90005C~90008C,90010C,90011C,90015C,90016C,90018C~90020C,90091C~90097C,90112C,92014C~92016C,92027C,92030C~92033C,92041C,92042C,92050C,92056C~92059C,92063C,92064C,92065B;11~19,21~29,31~39,41~49,51~55,61~65,71~75,81~85,99,UR,UL,LR,LL,UA,LA,FM;NULL
20;170;34002C;咬翼式 X光攝影;100;Bite-Wing radiography;1;1;CC:Asking for dental check up.Visual & Radiographic examination.;90001C~90003C,90005C~90008C,90010C,90011C,90015C,90016C,90018C~90020C,90091C~90097C,90112C,92014C~92016C,92027C,92030C~92033C,92041C,92042C,92050C,92056C~92059C,92063C,92064C,92065B;11~19,21~29,31~39,41~49,51~55,61~65,71~75,81~85,99,UR,UL,LR,LL,UA,LA,FM;NULL
