id,nhi_code,nhi_mandarin,update_date,version
1,00101B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（１）處方交付特約藥局調劑,109/10/05,1
2,00102B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（３）未開處方或處方由本院所自行調劑,109/10/05,1
3,00105B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（１）處方交付特約藥局調劑,109/10/05,1
4,00106B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（３）未開處方或處方由本院所自行調劑,109/10/05,1
5,00107B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（１）處方交付特約藥局調劑,109/10/05,1
6,00108B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（３）未開處方或處方由本院所自行調劑,109/10/05,1
7,00109C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（1-1）處方交付特約藥局調劑(1-30人次）,109/10/05,1
8,00110C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（3-1）未開處方或處方由本院所自行調劑(1-30人次),109/10/05,1
9,00111C,一般門診診察費－基層院所門診診察費  ２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（１）處方交付特約藥局調劑,109/10/05,1
10,00112C,一般門診診察費–基層院所門診診察費　２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（３）未開處方或處方由本院所自行調劑,109/10/05,1
11,00113C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）(1)處方交付特約藥局調劑,109/10/05,1
12,00114C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次但在八十人次以下部分（61-80）（3）未開處方或處方由本院所自行調劑,109/10/05,1
13,00115C,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）（１）處方交付特約藥局調劑,109/10/05,1
14,00116C,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）(3)未開處方或處方由本院所自行調劑,109/10/05,1
15,00117C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（1）處方交付特約藥局調劑,109/10/05,1
16,00118C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（3）未開處方或處方由本院所自行調劑,109/10/05,1
17,00121C,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 1)處方交付特約藥局調劑,109/10/05,1
18,00122C,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 2)未開處方或處方由本院所自行調劑,109/10/05,1
19,00123C,牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 1)處方交付特約藥局調劑,109/10/05,1
20,00124C,牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 2)未開處方或處方由本院所自行調劑,109/10/05,1
21,00125C,牙科門診診察費3.山地離島地區 1)處方交付特約藥局調劑,109/10/05,1
22,00126C,牙科門診診察費3.山地離島地區 2)未開處方或處方由本院所自行調劑,109/10/05,1
23,00128C,重度以上特定身心障礙(非精神疾病)者診察費,109/10/05,1
24,00131B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（２）開具慢性病連續處方交付特約藥局調劑,109/10/05,1
25,00132B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（４）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
26,00135B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（２）開具慢性病連續處方交付特約藥局調劑,109/10/05,1
27,00136B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（４）開具慢性病連續處方由本院所自行調劑,109/10/05,1
28,00137B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（２）開具慢性病連續處方交付特約藥局調劑,109/10/05,1
29,00138B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（４）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
30,00141C,一般門診診察費－基層院所門診診察費　２.每位醫師每日門診量超過四十人次，但在六十人次以下（41-60）（２）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
31,00142C,一般門診診查費–基層院所門診診查費 ２.每位醫師每日門診量超過四十人次，但在六十人次以下(41-60)（４）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
32,00143C,一般門診診察費－基層院所門診診察費3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（2）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
33,00144C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（4）開具慢性病連續處方由本院所自行調劑,109/10/05,1
34,00145C,一般門診診察費–基層院所門診診察費 ４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150)（2）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
35,00146C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （4）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
36,00147C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（2）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
37,00148C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（4）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
38,00154A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（１）處方交付特約藥局調劑,109/10/05,1
39,00155A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（２）開具慢性病連續處方並交付特約藥局調劑,109/10/05,1
40,00156A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（３）未開處方或處方由本院所自行調劑,109/10/05,1
41,00157A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（４）開具慢性病連續處方並由本院所自行調劑,109/10/05,1
42,00158C,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
43,00159C,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
44,00160C,一般門診診察費－基層院所門診診察費　2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
45,00161C,一般門診診察費—基層院所門診診察費 2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
46,00162C,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
47,00163C,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,109/10/05,1
48,00164C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,109/10/05,1
49,00165C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調,109/10/05,1
