id;status;arrival_time;created_date;created_by
1;FINISHED;2018-03-01T06:30:00;2018-03-01T06:30:29;system
2;FINISHED;2018-03-01T06:54:00;2018-03-01T06:54:04;system
3;FINISHED;2018-03-01T08:28:00;2018-03-01T08:28:03;system
4;FINISHED;2018-03-01T08:54:00;2018-03-01T08:54:09;system
5;FINISHED;2018-03-01T09:12:00;2018-03-01T09:12:54;system
6;FINISHED;2018-03-01T11:35:00;2018-03-01T11:35:30;system
7;FINISHED;2018-03-01T11:50:00;2018-03-01T11:50:36;system
8;FINISHED;2018-03-02T01:24:00;2018-03-02T01:24:12;system
9;FINISHED;2018-03-02T01:31:00;2018-03-02T01:31:02;system
10;FINISHED;2018-03-02T02:17:00;2018-03-02T02:17:22;system
11;FINISHED;2018-03-02T02:31:00;2018-03-02T02:31:04;system
12;FINISHED;2018-03-02T02:53:00;2018-03-02T02:53:08;system
13;FINISHED;2018-03-02T06:26:00;2018-03-02T06:26:34;system
14;FINISHED;2018-03-02T06:28:00;2018-03-02T06:28:08;system
15;FINISHED;2018-03-02T07:55:00;2018-03-02T07:55:53;system
16;FINISHED;2018-03-02T10:31:00;2018-03-02T10:30:59;system
17;FINISHED;2018-03-02T10:37:00;2018-03-02T10:37:29;system
18;FINISHED;2018-03-02T11:04:00;2018-03-02T11:04:36;system
19;FINISHED;2018-03-02T11:26:00;2018-03-02T11:26:36;system
20;FINISHED;2018-03-02T12:54:00;2018-03-02T12:54:28;system
21;FINISHED;2018-03-03T01:34:00;2018-03-03T01:34:14;system
22;FINISHED;2018-03-03T02:31:00;2018-03-03T02:31:29;system
23;FINISHED;2018-03-03T02:34:00;2018-03-03T02:34:39;system
24;FINISHED;2018-03-03T03:07:00;2018-03-03T03:07:35;system
25;FINISHED;2018-03-03T06:24:00;2018-03-03T06:24:37;system
26;FINISHED;2018-03-03T06:28:00;2018-03-03T06:28:15;system
27;FINISHED;2018-03-03T06:57:00;2018-03-03T06:57:50;system
28;FINISHED;2018-03-03T07:19:00;2018-03-03T07:19:33;system
29;FINISHED;2018-03-03T07:20:00;2018-03-03T07:20:15;system
30;FINISHED;2018-03-03T07:21:00;2018-03-03T07:21:47;system
31;FINISHED;2018-03-03T07:57:00;2018-03-03T07:57:29;system
32;FINISHED;2018-03-03T08:25:00;2018-03-03T08:25:33;system
33;FINISHED;2018-03-05T01:34:00;2018-03-05T01:33:48;system
34;FINISHED;2018-03-05T06:25:00;2018-03-05T06:25:40;system
35;FINISHED;2018-03-05T06:51:00;2018-03-05T06:50:51;system
36;FINISHED;2018-03-05T09:02:00;2018-03-05T09:02:17;system
37;FINISHED;2018-03-05T09:08:00;2018-03-05T09:07:59;system
38;FINISHED;2018-03-05T09:11:00;2018-03-05T09:11:28;system
39;FINISHED;2018-03-05T09:12:00;2018-03-05T09:12:01;system
40;FINISHED;2018-03-05T10:36:00;2018-03-05T10:36:04;system
41;FINISHED;2018-03-05T11:03:00;2018-03-05T11:03:27;system
42;FINISHED;2018-03-05T11:12:00;2018-03-05T11:12:28;system
43;FINISHED;2018-03-05T11:49:00;2018-03-05T11:49:25;system
44;FINISHED;2018-03-05T11:53:00;2018-03-05T11:53:25;system
45;FINISHED;2018-03-05T12:02:00;2018-03-05T12:01:47;system
46;FINISHED;2018-03-06T01:54:00;2018-03-06T01:54:24;system
47;FINISHED;2018-03-06T02:52:00;2018-03-06T02:52:13;system
48;FINISHED;2018-03-06T04:05:00;2018-03-06T04:05:07;system
49;FINISHED;2018-03-06T06:29:00;2018-03-06T06:29:57;system
50;FINISHED;2018-03-06T06:43:00;2018-03-06T06:43:47;system
51;FINISHED;2018-03-06T06:52:00;2018-03-06T06:52:15;system
52;FINISHED;2018-03-06T07:13:00;2018-03-06T07:13:28;system
53;FINISHED;2018-03-06T07:23:00;2018-03-06T07:23:50;system
54;FINISHED;2018-03-06T08:02:00;2018-03-06T08:02:04;system
55;FINISHED;2018-03-06T08:29:00;2018-03-06T08:29:48;system
56;FINISHED;2018-03-06T10:27:00;2018-03-06T10:27:24;system
57;FINISHED;2018-03-06T10:33:00;2018-03-06T10:33:45;system
58;FINISHED;2018-03-06T11:15:00;2018-03-06T11:15:14;system
59;FINISHED;2018-03-06T11:30:00;2018-03-06T11:30:04;system
60;FINISHED;2018-03-06T11:43:00;2018-03-06T11:43:04;system
61;FINISHED;2018-03-06T11:49:00;2018-03-06T11:49:44;system
62;FINISHED;2018-03-06T11:52:00;2018-03-06T11:52:42;system
63;FINISHED;2018-03-06T12:02:00;2018-03-06T12:02:35;system
64;FINISHED;2018-03-06T12:04:00;2018-03-06T12:04:34;system
65;FINISHED;2018-03-06T12:30:00;2018-03-06T12:30:27;system
66;FINISHED;2018-03-06T13:35:00;2018-03-06T13:35:25;system
67;FINISHED;2018-03-07T01:24:00;2018-03-07T01:24:40;system
68;FINISHED;2018-03-07T02:40:00;2018-03-07T02:40:33;system
69;FINISHED;2018-03-07T03:28:00;2018-03-07T03:28:55;system
70;FINISHED;2018-03-07T03:58:00;2018-03-07T03:58:38;system
71;FINISHED;2018-03-07T04:02:00;2018-03-07T04:02:22;system
72;FINISHED;2018-03-07T06:55:00;2018-03-07T06:55:13;system
73;FINISHED;2018-03-07T07:03:00;2018-03-07T07:03:21;system
74;FINISHED;2018-03-07T07:03:00;2018-03-07T07:03:49;system
75;FINISHED;2018-03-07T07:24:00;2018-03-07T07:24:24;system
76;FINISHED;2018-03-07T08:00:00;2018-03-07T08:00:03;system
77;FINISHED;2018-03-07T08:52:00;2018-03-07T08:52:04;system
78;FINISHED;2018-03-07T09:01:00;2018-03-07T09:01:26;system
79;FINISHED;2018-03-07T09:04:00;2018-03-07T09:04:18;system
80;FINISHED;2018-03-07T09:04:00;2018-03-07T09:04:42;system
81;FINISHED;2018-03-07T09:24:00;2018-03-07T09:24:09;system
82;FINISHED;2018-03-07T10:25:00;2018-03-07T10:25:55;system
83;FINISHED;2018-03-07T11:12:00;2018-03-07T11:12:00;system
84;FINISHED;2018-03-07T12:15:00;2018-03-07T12:15:23;system
85;FINISHED;2018-03-08T01:23:00;2018-03-08T01:23:23;system
86;FINISHED;2018-03-08T01:53:00;2018-03-08T01:53:00;system
87;FINISHED;2018-03-08T02:11:00;2018-03-08T02:11:20;system
88;FINISHED;2018-03-08T02:11:00;2018-03-08T02:11:30;system
89;FINISHED;2018-03-08T03:07:00;2018-03-08T03:07:19;system
90;FINISHED;2018-03-08T03:22:00;2018-03-08T03:22:29;system
91;FINISHED;2018-03-08T03:24:00;2018-03-08T03:24:33;system
92;FINISHED;2018-03-08T07:31:00;2018-03-08T07:31:56;system
93;FINISHED;2018-03-08T07:34:00;2018-03-08T07:33:59;system
94;FINISHED;2018-03-08T08:27:00;2018-03-08T08:27:06;system
95;FINISHED;2018-03-08T10:36:00;2018-03-08T10:36:53;system
96;FINISHED;2018-03-08T11:13:00;2018-03-08T11:13:09;system
97;FINISHED;2018-03-08T11:26:00;2018-03-08T11:26:21;system
98;FINISHED;2018-03-08T11:27:00;2018-03-08T11:27:35;system
99;FINISHED;2018-03-08T11:33:00;2018-03-08T11:33:18;system
100;FINISHED;2018-03-08T11:35:00;2018-03-08T11:35:23;system
101;FINISHED;2018-03-08T12:15:00;2018-03-08T12:15:14;system
102;FINISHED;2018-03-08T12:56:00;2018-03-08T12:56:12;system
